Country_Code,Country_Name,Region,Sub_Region,Intermediate_Region,Confirmed,Recovered,Deaths,ConfirmedPerPpopulation,RecoveryRate,DeathRate,"School enrollment, tertiary (% gross)","School enrollment, secondary (% net)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)","Labor force, female (% of total labor force)","Labor force, total",Population ages 15-64 (% of total population),"Government expenditure on education, total (% of GDP)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Prevalence of anemia among children (% of children under 5),Prevalence of undernourishment (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk),Net ODA Received (2014-2018),Net ODA Received (2018),Inflation (2015-2019),Inflation (2019),GDP (2015-2019),GDP (2019),Unemployment (2015-2019),Unemployment (2019),Happiness Score (2019),GDP per capita (2019),Social support (2019),Healthy life expectancy (2019),Freedom to make life choices (2019),Generosity (2019),Perceptions of corruption (2019),"Nurse and Midwives(per1,000People)","Physician(per1,000People)",OECD_Nurse(1000HAB),OECD_Doctor(1000HAB),Health Expenditure (% of GDP),Hospital_Bed_ACUTE(1000HAB),Hospital_Bed_ICU(1000HAB),Hospital_Bed_OTHER(1000HAB),HOSPITAL_BED_PSYCHIATRIC(1000HAB),HOSPITAL_BED_TOTAL(1000HAB),Health Care Index _2000,HealthCare_Rank_2000,Covid19_test_conducted_people tested,Covid19_test_conducted_samples tested,Covid19_test_conducted_tests performed,Covid19_test_conducted_units unclear
AFG,Afghanistan,Asia,Southern Asia,,49681,38613,2047,0.131,77.722,4.12,9.686420441,50.1407,43.01971817,29.80521011,55.47544861,74.08480072,56.2547493,50.25306367,10699797,54.9119344,4.058869839,36.4,19.5,44.1,6.423,9.2,66,66,64,64.486,46.4,29.9,0,118.8558296,101.9275409,2.325331192,2.302372515,541.6549667,502.1154869,11.2118,11.11800003,3.203,0.35,0.517,0.361,0,0.158,0.025,0.1755,0.2782,NA,NA,11.77719384,NA,NA,NA,NA,NA,0.325,173,NA,NA,NA,NA
AGO,Angola,Africa,Sub-Saharan Africa,Middle Africa,16626,9518,386,0.052,57.248,2.322,9.336259842,0,0,0,0,0,0,41.4753376,13164276,51.17863322,0,63.4,9.2,27.4,8.19,4.5,57,53,51,60.782,50.9,18.6,7.1,8.437832453,5.175307649,15.97468408,17.14531994,3606.420667,2973.59116,7.105800056,6.886000156,NA,NA,NA,NA,NA,NA,NA,0.4075,0.2146,NA,NA,2.791500278,NA,NA,NA,NA,NA,0.275,181,NA,NA,NA,NA
ALB,Albania,Europe,Southern Europe,,52542,27831,1074,1.841,52.969,2.044,59.7784996,86.60827,98.14115143,97.76112366,98.51361847,99.05000305,99.62999725,0,1313923,68.39780528,3.611720085,2.9,4,93.1,7.898,9,99,99,95,78.458,24.9,3.6,0.8,90.26020102,119.6249252,1.719483492,1.41109079,4649.023068,5352.857411,14.14420013,12.33100033,4.719,0.947,0.848,0.874,0.383,0.178,0.027,3.6495,1.2164,NA,NA,NA,NA,NA,NA,NA,NA,0.774,55,NA,NA,NA,NA
AND,Andorra,Europe,Southern Europe,,7560,6963,80,9.8,92.103,1.058,0,0,0,0,0,0,0,20.717721,0,0,3.151619911,0,0,0,4.4,7.7,99,98,99,0,12.8,0,0,NA,NA,NA,NA,38975.90305,40886.39116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32055244,NA,NA,NA,NA,NA,0.982,4,NA,NA,NA,NA
ARE,United Arab Emirates,Asia,Western Asia,,192404,168129,634,1.969,87.383,0.33,0,92.79992,93.22714233,95.09761047,92.55615997,99.63999939,99.11000061,42.96271082,6840917,84.13083877,0,6.5,16.8,76.8,1.47,16.3,99,98,99,77.814,27.2,3.1,0,NA,NA,1.758366479,-1.931081148,40878.5428,43103.32306,2.117200041,2.34800005,6.825,1.503,1.31,0.825,0.598,0.262,0.182,5.7271,2.5278,NA,NA,3.334282339,NA,NA,NA,NA,NA,0.886,27,NA,NA,173451.703,NA
ARG,Argentina,Americas,Latin America and the Caribbean,South America,1537169,1362617,41763,3.421,88.645,2.717,89.95851898,90.79605,99.0038681,99.06204224,98.93773651,99.24182892,99.75765228,46.16731809,20772672,64.16136585,5.462230206,15.9,6.5,77.6,7.609,5.9,86,86,94,76.52,22.2,3.8,3.9,0.466992857,1.595477973,43.91276403,53.54830435,12572.25297,10006.14897,8.616600037,9.788999557,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.5996,3.9901,NA,NA,9.124314785,NA,NA,NA,NA,NA,0.722,75,6349.945,NA,7168.918,NA
ARM,Armenia,Asia,Western Asia,,153173,131931,2616,5.179,86.132,1.708,51.48752975,0,99.73606873,99.67716217,99.80549622,99.82128143,99.87416077,0,1303565,67.75038027,2.707590103,2.8,3.9,93.3,9.857,6.1,92,92,95,74.945,31.5,2.6,6,91.17926595,47.12078299,1.452263466,1.443446608,3991.370202,4622.733493,17.61380005,16.98999977,4.559,0.85,1.055,0.815,0.283,0.095,0.064,6.107,4.4023,NA,NA,10.36270484,NA,NA,NA,NA,NA,0.63,104,NA,NA,NA,NA
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,152,141,5,0.157,92.763,3.289,0,88.78981,98.94999695,99.41999817,98.40000153,0,0,46.53362262,0,68.99030046,0,11.9,6.3,81.8,6.366,13.1,95,99,93,76.885,32.3,0,0,64.46716278,174.272487,1.029800372,NA,15876.88318,17790.30931,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5171,2.956,NA,NA,4.533531889,NA,NA,NA,NA,NA,0.688,86,NA,NA,NA,NA
AUS,Australia,Oceania,Australia and New Zealand,,28168,25704,908,0.111,91.252,3.224,107.8080521,92.28431,0,0,0,0,0,46.40601549,13414956,64.80335154,5.124249935,4.6,5.9,89.5,6.3,5.6,95,95,95,82.74878049,13.9,2.5,0.1,NA,NA,1.651234779,1.610767873,54619.26916,54907.10191,5.584200001,5.268000126,7.228,1.372,1.548,1.036,0.557,0.332,0.29,12.5508,3.6778,11.92,3.75,9.205947816,NA,NA,NA,0.42,3.84,0.876,32,NA,NA,36208.413,NA
AUT,Austria,Europe,Western Europe,,337209,300611,5209,3.799,89.147,1.545,86.68834686,87.00131,0,0,0,0,0,48.75397231,4613292,66.56253608,5.358039856,2.6,5.2,92.2,9.5,6.6,85,85,94,81.69268293,12.6,2.5,0,NA,NA,1.479740735,1.530895534,47753.45061,50277.27509,5.351599979,4.673999786,7.246,1.376,1.475,1.016,0.532,0.244,0.226,7.0899,5.1697,6.87,5.24,10.39661691,5.45,NA,NA,0.61,7.37,0.959,9,NA,NA,32048.732,NA
AZE,Azerbaijan,Asia,Western Asia,,199127,135462,2175,1.987,68.028,1.092,31.54019928,88.53256,99.79122925,99.72199249,99.86374664,99.96064758,99.91310883,51.85834027,5103137,70.11169103,2.455430031,8.8,4.6,86.6,5.8,6.1,94,94,98,72.864,23.9,2.5,0,11.81313359,8.447880864,6.854154866,2.608339565,4612.313512,4793.58702,5.073799992,5.508999825,5.208,1.043,1.147,0.769,0.351,0.035,0.182,NA,NA,NA,NA,6.651829183,NA,NA,NA,NA,NA,0.626,109,NA,NA,NA,NA
